candle_begin_time,open,high,low,close,volume,quote_volume,trade_num,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,Spread,symbol,avg_price_1m,avg_price_5m
2023/10/12 16:00,26665.4,26800,26543.1,26665.1,24639.559,657613430.6,212652,12372.72,330300696.5,-0.000309672,BTC-USDT,26667.39982,26669.07655
2023/10/12 17:00,26665.2,26682,26534.8,26630.7,19183.628,510273914.3,196933,9359.974,248994072.3,-0.00042039,BTC-USDT,26652.87001,26646.4962
2023/10/12 18:00,26630.7,26719.9,26585,26648.7,8483.278,226203791.5,97833,4205.747,112148467.1,-0.000351113,BTC-USDT,26618.92049,26625.01189
2023/10/12 19:00,26648.6,26734.1,26614.5,26700.3,5962.546,159091445.2,71954,3175.044,84723877.26,-0.000471682,BTC-USDT,26645.20277,26642.24817
2023/10/12 20:00,26700.2,26749,26695,26734.4,4757.541,127141271.1,51148,2268.943,60636821.94,-0.000396336,BTC-USDT,26701.45609,26702.96292
2023/10/12 21:00,26734.4,26754.9,26695.5,26745.6,3879.125,103659238.9,42166,1785.355,47712755.6,-0.000511225,BTC-USDT,26735.09463,26731.18275
2023/10/12 22:00,26745.6,26767.2,26716.9,26739,3093.629,82715421.12,44238,1516.224,40539796.84,-0.000599887,BTC-USDT,26748.13312,26736.56673
2023/10/12 23:00,26738.9,26755.5,26692,26744,3548.462,94832555.2,45431,1646.479,44004729.8,-0.000584089,BTC-USDT,26733.19892,26734.93181
2023/10/13 00:00,26744,26849.6,26733.9,26818,10020.75,268605273.2,94559,5654.162,151554469.9,-0.000430868,BTC-USDT,26740.04184,26742.13435
2023/10/13 01:00,26818,26869.7,26777.1,26781.6,6435.381,172577784.7,63426,2915.613,78202337.66,-0.000446376,BTC-USDT,26814.44375,26822.03037
2023/10/13 02:00,26781.7,26800,26771.6,26795.3,3274.336,87708160.81,35991,1873.18,50177946.69,-0.000518479,BTC-USDT,26783.51684,26783.37874
2023/10/13 03:00,26795.3,26823.7,26756.3,26769.5,4271.401,114406640,42378,1949.822,52230097.48,-0.000455162,BTC-USDT,26804.26228,26806.84472
2023/10/13 04:00,26769.5,26796,26765.3,26792.6,2480.583,66438179.8,30332,1435.08,38436141.96,-0.00048199,BTC-USDT,26772.3152,26769.13009
2023/10/13 05:00,26792.6,26814.9,26770,26809.4,3021.862,80976141.16,34064,1495.561,40078643.88,-0.000466782,BTC-USDT,26795.84334,26799.72486
2023/10/13 06:00,26809.3,26847.6,26786.9,26796.6,3953.349,106003006,43352,1983.97,53200652.48,-0.000431585,BTC-USDT,26813.23887,26803.97568
2023/10/13 07:00,26796.5,26929,26796.5,26857.8,13082.375,351585250.1,117433,6998.941,188097514.8,-0.00064,BTC-USDT,26800.09408,26808.82504
2023/10/13 08:00,26857.9,26892.3,26779,26783,7694.777,206465538.2,78155,3135.538,84135391.58,-0.000485893,BTC-USDT,26859.85207,26871.29042
2023/10/13 09:00,26783.1,26813.6,26722.2,26725.8,7586.408,203081520.9,71705,3240.809,86763962.44,-0.000458149,BTC-USDT,26785.22519,26792.21298
2023/10/13 10:00,26725.7,26776.7,26725.7,26766.1,3997.227,106954901.2,41374,2313.642,61905121.43,-0.000462312,BTC-USDT,26735.65417,26741.67841
2023/10/13 11:00,26766.2,26843.2,26766.2,26809.9,6719.788,180172011.1,65472,3790.638,101633754.6,-0.000410873,BTC-USDT,26773.55222,26776.10157
2023/10/13 12:00,26810,26925,26751,26920,14812.825,397856924.5,137737,7449.115,200098413.3,-0.000468948,BTC-USDT,26817.92434,26801.68915
2023/10/13 13:00,26920.1,26972.8,26820,26843,14417.305,387485695.6,156910,6843.291,183976556,-0.000470292,BTC-USDT,26918.28423,26888.73038
2023/10/13 14:00,26843,26843,26722.6,26745.4,11958.083,320302660.6,133466,5418.781,145154702.7,-0.000436894,BTC-USDT,26822.10586,26816.04641
2023/10/13 15:00,26745.3,26774,26670.1,26693,11685.236,312182891,111503,5872.833,156909213.6,-0.000517845,BTC-USDT,26744.6287,26752.39724
2023/10/13 16:00,26692.9,26797.9,26688.1,26786,9102.618,243548578.4,84996,5101.865,136497565.6,-0.000400422,BTC-USDT,26690.85268,26697.94086
2023/10/13 17:00,26786,26788.4,26675,26756.9,7685.813,205464573.4,75606,3462.161,92548784.06,-0.000424383,BTC-USDT,26786.10809,26781.35566
2023/10/13 18:00,26756.9,26777.5,26720,26734.7,3701.167,98985720.33,44927,1795.124,48010064.59,-0.000536468,BTC-USDT,26753.67072,26756.56701
2023/10/13 19:00,26734.6,26771.4,26709.2,26768.9,3936.79,105296522,43815,1938.498,51850073.8,-0.00036111,BTC-USDT,26730.55671,26740.70633
2023/10/13 20:00,26769,27098,26733.3,26967.8,25278.653,680338538.7,166193,14978.558,403084848.7,-0.000502569,BTC-USDT,26764.33635,26772.14567
2023/10/13 21:00,26967.8,27120.8,26830,27005.5,37058.099,1000276907,293843,18382.622,496250465.2,-0.000507047,BTC-USDT,26982.6869,27051.28388
2023/10/13 22:00,27005.4,27066.5,26737.1,26813.9,22625.751,608774349.7,196192,8872.829,238760981.4,-0.00059635,BTC-USDT,27010.96528,27002.382
2023/10/13 23:00,26813.9,26849.8,26746,26849.8,8421.577,225743041.2,85967,3899.191,104532133.6,-0.000454173,BTC-USDT,26818.36768,26814.19254
2023/10/14 00:00,26849.7,26889.4,26837.5,26879.9,4786.684,128582393.3,49634,2483.961,66730730.63,-0.000467045,BTC-USDT,26851.33307,26853.13603
2023/10/14 01:00,26879.9,26918.4,26828.5,26900.1,4446.461,119470887.1,46915,2124.209,57085309.98,-0.000555451,BTC-USDT,26880.67794,26878.65598
2023/10/14 02:00,26900,26919.7,26875.6,26889.7,3085.816,82990141.02,39828,1473.645,39634048.88,-0.000568668,BTC-USDT,26904.03893,26907.75759
2023/10/14 03:00,26889.7,26986.4,26889.7,26918.2,7332.03,197510306.9,57873,4626.526,124635529.4,-0.000467123,BTC-USDT,26895.18969,26899.69912
2023/10/14 04:00,26918.2,26922.9,26886.5,26896.5,2597.856,69901403.84,31995,1017.675,27384352.57,-0.000443355,BTC-USDT,26919.6802,26916.7056
2023/10/14 05:00,26896.5,26926.4,26871,26874.2,3785.872,101824167.9,39183,1548.867,41661695.67,-0.000404314,BTC-USDT,26895.76935,26890.11728
2023/10/14 06:00,26874.2,26886.1,26842.8,26851.1,5253.197,141105818.1,51944,2542.686,68301046.43,-0.000458244,BTC-USDT,26874.40158,26872.79693
2023/10/14 07:00,26851.1,26863.8,26828.4,26860.5,3117.496,83705293.58,35584,1501.635,40320576.42,-0.000308908,BTC-USDT,26850.10671,26842.86239
2023/10/14 08:00,26860.4,26874.5,26835,26858,2832.849,76062480.56,33590,1553.15,41704333.65,-0.000299263,BTC-USDT,26861.19381,26866.07665
2023/10/14 09:00,26858,26874.3,26858,26870.7,1799.541,48346234.97,25546,1103.348,29642742.47,-0.000345238,BTC-USDT,26861.60659,26863.68323
2023/10/14 10:00,26870.7,26892.7,26851.7,26863.2,2619.577,70398649.45,29313,1493.087,40127047.9,-0.000579639,BTC-USDT,26873.25429,26873.16606
2023/10/14 11:00,26863.2,26867.1,26835.7,26860.1,2111.926,56710411.44,26200,1000.257,26860265.8,-0.000455859,BTC-USDT,26864.75739,26865.08814
2023/10/14 12:00,26860.1,26883.8,26837.6,26882.3,2403.592,64554707.82,29514,1345.152,36130344.57,-0.000400847,BTC-USDT,26860.07049,26859.51702
2023/10/14 13:00,26882.3,26902,26867.2,26894.7,3851.673,103550914,39296,1983.784,53336624.35,-0.00047979,BTC-USDT,26885.43107,26884.86835
2023/10/14 14:00,26894.7,26897.8,26856.7,26874.3,2240.876,60232342.35,30261,957.6,25739161.25,-0.000406915,BTC-USDT,26896.63774,26891.49884
2023/10/14 15:00,26874.3,26930,26864.9,26927.9,4788.075,128792510.7,51414,2425.612,65252429.83,-0.000544121,BTC-USDT,26874.88117,26874.71543
2023/10/14 16:00,26927.9,26937.9,26888.6,26914.8,4872.205,131117058.3,55768,2170.933,58424117.75,-0.000437486,BTC-USDT,26930.84345,26921.57426
2023/10/14 17:00,26914.8,26917.7,26869.9,26875.1,2838.708,76323830.24,37214,1117.478,30045164.73,-0.000535897,BTC-USDT,26910.25493,26910.81716
2023/10/14 18:00,26875,26877.6,26853.5,26858.5,2498.22,67112766.15,31268,1205.106,32373941.59,-0.000427987,BTC-USDT,26874.4704,26875.68437
2023/10/14 19:00,26858.5,26867,26835.1,26851.5,2770.009,74378767.04,32058,1237.317,33224556.15,-0.000476097,BTC-USDT,26857.49429,26852.66914
2023/10/14 20:00,26851.5,26852.1,26800,26831.8,3621.159,97135940.38,38732,1492.851,40047167.68,-0.000503626,BTC-USDT,26848.02053,26846.13864
2023/10/14 21:00,26831.9,26869.6,26773.1,26806.5,4864.909,130465110.3,50188,2321.703,62267052.8,-0.000503728,BTC-USDT,26840.3943,26851.60434
2023/10/14 22:00,26806.5,26843.9,26806.4,26832.7,2022.256,54240827.19,28178,1140.41,30587659.81,-0.000623849,BTC-USDT,26806.46751,26811.2798
2023/10/14 23:00,26832.7,26855.9,26832.6,26836.3,1623.794,43594061.2,21239,767.459,20603720.61,-0.000602551,BTC-USDT,26834.97221,26840.59648
2023/10/15 00:00,26836.4,26842.5,26801,26835,2461.777,66029205.2,29216,1103.06,29585172.32,-0.0005125,BTC-USDT,26838.82256,26837.39925
2023/10/15 01:00,26835,26896.3,26831.6,26876.5,3662.653,98411963.17,41516,2127.788,57165048.89,-0.000502417,BTC-USDT,26837.99162,26835.72081
2023/10/15 02:00,26876.6,26891,26856.5,26870.5,1980.944,53229289.18,25533,898.784,24151493.51,-0.000487286,BTC-USDT,26878.93752,26885.89998
2023/10/15 03:00,26870.5,26894.2,26861.4,26871.4,2621.148,70451200.66,30991,1606.6,43182774.95,-0.000337048,BTC-USDT,26870.81538,26867.62228
2023/10/15 04:00,26871.4,26879.7,26858.8,26873.1,1822.333,48964648.45,20991,944.657,25382179.67,-0.000404702,BTC-USDT,26873.1969,26876.35603
2023/10/15 05:00,26873.2,26875,26866.7,26868.3,736.925,19802082.81,12357,388.127,10429559.5,-0.000525994,BTC-USDT,26874.27384,26871.25296
2023/10/15 06:00,26868.4,26868.5,26860,26868.5,913.307,24535797.61,13718,443.759,11921549.95,-0.000410349,BTC-USDT,26868.33953,26866.57306
2023/10/15 07:00,26868.5,26872.7,26858.7,26872.7,980.083,26331050.35,15083,560.124,15048478.03,-0.000365293,BTC-USDT,26868.74267,26869.47176
2023/10/15 08:00,26872.7,26899.9,26868.5,26895,2512.02,67539933.51,33131,1447.42,38916623.07,-0.000401029,BTC-USDT,26874.49898,26879.00952
2023/10/15 09:00,26894.9,26909.6,26883,26890.4,2252.11,60573821,29561,1000.931,26922318.44,-0.000404813,BTC-USDT,26893.6694,26894.52733
2023/10/15 10:00,26890.4,26890.4,26878.1,26880.9,1104.31,29689184.94,15395,444.735,11956801.11,-0.000524261,BTC-USDT,26889.37315,26886.54012
2023/10/15 11:00,26880.8,26880.9,26830.1,26840.4,3862.29,103700430.3,42597,1585.075,42556166.18,-0.000449493,BTC-USDT,26876.57852,26862.71125
2023/10/15 12:00,26840.5,26840.5,26813.1,26824.2,3195.809,85733206.41,35993,1702.278,45666631.01,-0.00051941,BTC-USDT,26839.4843,26832.51602
2023/10/15 13:00,26824.3,26958,26790.4,26849.7,16930.298,454953975,137396,8452.635,227178869.9,-0.000425522,BTC-USDT,26823.86729,26812.4343
2023/10/15 14:00,26849.7,26909.2,26842.9,26861.8,3395.669,91267006.11,45040,1714.035,46068020.18,-0.000430538,BTC-USDT,26855.05934,26861.48654
